id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,teamName
2729187741,9,1,1,0,34,5fd9f9bti2cdgb6r1lf8l2bc7,1,12.6,95.9,2024-10-01T19:01:25.079Z,2024-10-02T05:49:47Z,5259509607,141,85.4,5260593805,178,,5259509609,212,7.1,5259509611,213,4.67,5259509605,140,12.3,5259509603,56,Back,,,,,,,dzh403ofb9zatvornq0svb0gk,J. Hadjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729187745,10,3,1,0,35,5fd9f9bti2cdgb6r1lf8l2bc7,0,18.4,86,2024-10-01T19:01:26.239Z,2024-10-02T05:49:52Z,5259509623,285,,5260593847,178,,5259509793,233,11,5260465523,465,,5259509621,56,Back,,,,,,,,,,94md3wf5xab5mnj5niiwq33zd,F. Ugrinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729187757,11,7,1,0,35,agh9ifb2mw3ivjusgedj7c3fe,0,81.6,14,2024-10-01T19:01:26.356Z,2024-10-02T05:49:59Z,5260465649,385,,5259509747,233,10,5260593895,178,,5259509721,286,,5259509719,56,Right,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729187839,11,1,1,0,38,5fd9f9bti2cdgb6r1lf8l2bc7,1,22.4,72.2,2024-10-01T19:01:28.779Z,2024-10-02T05:50:03Z,5259510119,213,5.46,5259510113,141,55.7,5259510117,212,15.3,5259510109,140,32.3,5260593923,178,,5259510105,56,Back,,,,,,,94md3wf5xab5mnj5niiwq33zd,F. Ugrinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729187875,12,1,1,0,39,5fd9f9bti2cdgb6r1lf8l2bc7,1,32.3,55.5,2024-10-01T19:01:30.299Z,2024-10-02T05:50:09Z,5260593961,178,,5259510241,141,55.7,5259510237,56,Back,5259875469,156,,5259510245,213,3.07,5259510239,140,30.4,5259510243,212,2,,,,8oor1m6o9js5bby3qh5imf8d0,J. Monteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729187933,13,1,1,0,41,5fd9f9bti2cdgb6r1lf8l2bc7,1,30,51.6,2024-10-01T19:01:32.152Z,2024-10-02T05:50:13Z,5259510563,141,7.9,5259510565,212,30.1,5259510559,56,Back,5260593989,178,,5259510567,213,4.86,5259510561,140,34.3,,,,,,,d6en8pyovfsfqfc4u67rkkwdl,K. Imeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729188123,14,1,1,0,44,5fd9f9bti2cdgb6r1lf8l2bc7,1,35.6,6.2,2024-10-01T19:01:35.029Z,2024-10-02T05:50:16Z,5259511627,56,Right,5259511633,212,18.7,5259511635,213,6.28,5259511631,141,6.1,5259511629,140,53.4,5260594013,178,,,,,,,,5anxcfh8hvwdbdc162ekgr52i,L. Blum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729188059,12,83,1,0,49,agh9ifb2mw3ivjusgedj7c3fe,0,44.6,90,2024-10-01T19:01:39.651Z,2024-10-02T05:50:21Z,5259511887,399,8oor1m6o9js5bby3qh5imf8d0,,,,,,,,,,,,,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188149,15,1,1,0,50,5fd9f9bti2cdgb6r1lf8l2bc7,0,47.9,11.5,2024-10-01T19:01:40.860Z,2024-10-02T05:50:30Z,5259511801,213,1.95,5259511793,141,35.2,5259511789,56,Back,5259511791,140,41.7,5259511797,212,17.4,5260594115,178,,,,,,,,8oor1m6o9js5bby3qh5imf8d0,J. Monteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729188161,13,49,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,1,56,79,2024-10-01T19:01:42.717Z,2024-10-02T05:50:36Z,,,,,,,,,,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
