id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,teamName
2752196003,17,1,1,1,3,agh9ifb2mw3ivjusgedj7c3fe,0,87.2,11.4,2024-11-26T20:01:42.047Z,2024-11-27T02:15:17Z,5385186597,141,40.9,5385186601,213,1.35,5385186595,140,91.5,5385186589,2,,5385186599,212,20.6,5385186593,56,Center,5385854239,20,,5385854237,224,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,5386001915,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752196297,10,12,1,1,4,3adj8hkws0z1al232bg2h6tk0,1,10.9,56.9,2024-11-26T20:01:43.188Z,2024-11-27T02:15:26Z,5385188317,212,29,5386002095,388,,5385188307,56,Back,5385188319,213,0.91,5385188309,140,27.9,5385188313,141,90.6,,,,,,,boeam163ur1t3ifq01px99xwp,J. Le Cardinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752196073,18,1,1,1,6,agh9ifb2mw3ivjusgedj7c3fe,1,74,12.2,2024-11-26T20:01:45.760Z,2024-11-27T02:15:35Z,5385187021,213,2.45,5385187013,56,Center,5385187011,3,,5386002253,178,,5385187019,212,10.8,5385187015,140,66.1,5385187017,141,22.4,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752196125,19,1,1,1,8,agh9ifb2mw3ivjusgedj7c3fe,1,66.1,22.4,2024-11-26T20:01:47.796Z,2024-11-27T02:15:39Z,5385187375,212,23.6,5385187377,213,3.36,5385187371,140,44.1,5385187369,56,Back,5385187373,141,15,5386002301,178,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752196205,20,1,1,1,11,agh9ifb2mw3ivjusgedj7c3fe,1,44.1,15,2024-11-26T20:01:50.732Z,2024-11-27T02:15:42Z,5385187759,213,1.75,5385187757,212,36.1,5386002323,178,,5385187761,1,,5385187745,56,Back,5385187749,140,38.1,5385187753,141,67.3,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752196255,21,1,1,1,14,agh9ifb2mw3ivjusgedj7c3fe,1,38.1,67.3,2024-11-26T20:01:53.485Z,2024-11-27T02:15:50Z,5385188013,56,Left,5386002575,178,,5385188021,213,0.84,5385188017,141,95.6,5385188015,140,54.5,5385188019,212,25.8,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752196331,22,1,1,1,17,agh9ifb2mw3ivjusgedj7c3fe,1,54.5,95.6,2024-11-26T20:01:56.555Z,2024-11-27T02:15:54Z,5385188529,141,73.2,5385188521,56,Back,5385188535,213,3.88,5385188525,140,38.7,5386002673,178,,5385188533,212,22.5,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752196361,23,1,1,1,22,agh9ifb2mw3ivjusgedj7c3fe,1,45.5,70.9,2024-11-26T20:02:01.469Z,2024-11-27T02:15:57Z,5385188713,141,91.4,5385188715,212,21,5385188717,213,0.73,5385188709,56,Left,5385188711,140,60.4,5386002699,178,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752196395,24,1,1,1,26,agh9ifb2mw3ivjusgedj7c3fe,1,60.8,91.2,2024-11-26T20:02:04.973Z,2024-11-27T02:16:02Z,5385188897,213,4.45,5385188895,212,12,5386002869,178,,5385188889,56,Center,5385188891,140,57.8,5385188893,141,74.1,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752196441,25,1,1,1,28,agh9ifb2mw3ivjusgedj7c3fe,1,57.8,74.1,2024-11-26T20:02:06.824Z,2024-11-27T02:16:05Z,5385189199,212,11,5385189195,140,57.8,5385189197,141,57.9,5386002915,178,,5385189201,213,4.71,5385189193,56,Center,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
