id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/12/value,assist,qualifier/20/value,teamName
2801712911,5,61,1,0,39,dt4pinj0vw0t0cvz7za6mhmzy,0,64,79.9,2025-04-15T19:03:47.905Z,2025-04-16T03:09:28Z,5655875411,178,,5655188721,56,Left,,,,,,,,,,,,,,,,,,,ebj6t5jqzixrnww1z7qofznu2,K. Adeyemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801712931,17,1,1,0,41,agh9ifb2mw3ivjusgedj7c3fe,1,36.5,11,2025-04-15T19:03:50.425Z,2025-04-16T03:09:40Z,5655188837,141,8.3,5655188835,140,41.4,5655188833,56,Back,5655875589,178,,5655188841,213,5.94,5655188839,212,5.5,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712937,18,1,1,0,43,agh9ifb2mw3ivjusgedj7c3fe,1,41.4,8.3,2025-04-15T19:03:52.025Z,2025-04-16T03:09:45Z,5655188863,141,14.5,5655188861,140,43.2,5655188859,56,Back,5655188865,212,4.6,5655875665,178,,5655188867,213,1.15,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712939,6,83,1,0,44,dt4pinj0vw0t0cvz7za6mhmzy,0,55.4,86.9,2025-04-15T19:03:53.105Z,2025-04-16T03:09:59Z,5655189003,399,abr79wsl0folgkyvl821ggs2c,,,,,,,,,,,,,,,,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801712953,19,1,1,0,44,agh9ifb2mw3ivjusgedj7c3fe,1,43.2,14.5,2025-04-15T19:03:53.145Z,2025-04-16T03:10:02Z,5655875793,178,,5655188947,141,28.9,5655188945,140,37.8,5655188943,56,Back,5655188951,213,2.1,5655188949,212,11.3,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712957,20,1,1,0,46,agh9ifb2mw3ivjusgedj7c3fe,1,37.8,28.9,2025-04-15T19:03:55.266Z,2025-04-16T03:10:10Z,5655188973,212,25.4,5655188971,141,66.2,5655875821,178,,5655188969,140,37.6,5655188975,213,1.58,5655188967,56,Back,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712985,21,1,1,0,51,agh9ifb2mw3ivjusgedj7c3fe,1,48.8,73.4,2025-04-15T19:03:59.906Z,2025-04-16T03:10:17Z,5655189143,212,14.2,5655189139,140,59.3,5655189141,141,86.6,5655189137,56,Left,5655189145,213,0.68,5655876001,178,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713029,22,1,1,0,53,agh9ifb2mw3ivjusgedj7c3fe,1,59.4,86.6,2025-04-15T19:04:01.906Z,2025-04-16T03:10:21Z,5655189365,141,66.8,5655189367,212,18.7,5655189369,213,3.94,5655876043,178,,5655189363,140,47,5655189361,56,Back,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713049,23,1,1,1,0,agh9ifb2mw3ivjusgedj7c3fe,1,42,60.3,2025-04-15T19:04:09.387Z,2025-04-16T03:10:26Z,5655189461,212,10.2,5655189463,213,1.66,5655189459,141,75.2,5655876137,178,,5655189455,56,Back,5655189457,140,41.1,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713067,24,1,1,1,2,agh9ifb2mw3ivjusgedj7c3fe,1,41.1,75.2,2025-04-15T19:04:11.427Z,2025-04-16T03:10:31Z,5655189547,213,5.79,5655876193,178,,5655189545,212,5.5,5655189543,141,71.4,5655189541,140,45.7,5655189539,56,Back,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713083,25,1,1,1,4,agh9ifb2mw3ivjusgedj7c3fe,1,45.7,71.4,2025-04-15T19:04:13.227Z,2025-04-16T03:10:37Z,5655189631,141,88.4,5655189633,212,15.7,5655189629,140,55.8,5655189627,56,Left,5655876243,178,,5655189635,213,0.83,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713103,26,1,1,1,6,agh9ifb2mw3ivjusgedj7c3fe,1,55.8,88.4,2025-04-15T19:04:14.507Z,2025-04-16T03:10:44Z,5655189735,213,5.29,5655189845,189,,5655189727,56,Center,5655189729,140,63.1,5655876309,178,,5655189731,141,71.1,5655189733,212,14,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713109,27,61,1,1,6,agh9ifb2mw3ivjusgedj7c3fe,1,63.1,71.1,2025-04-15T19:04:15.107Z,2025-04-16T03:11:02Z,5655189755,56,Center,5655876491,178,,5655189833,189,,,,,,,,,,,,,,,,,eb3ci3a120om80v80mobsus8a,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713105,7,49,1,1,9,dt4pinj0vw0t0cvz7za6mhmzy,1,46.1,32,2025-04-15T19:04:17.548Z,2025-04-16T03:11:16Z,,,,,,,,,,,,,,,,,,,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801713117,8,1,1,1,9,dt4pinj0vw0t0cvz7za6mhmzy,1,46.1,32,2025-04-15T19:04:17.668Z,2025-04-16T03:11:32Z,5655189819,56,Back,5655189823,141,33.2,5655189821,140,41.4,5655876703,178,,5655189825,212,5,5655189827,213,2.98,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801713135,9,1,1,1,9,dt4pinj0vw0t0cvz7za6mhmzy,0,41.4,33.2,2025-04-15T19:04:18.388Z,2025-04-16T03:11:37Z,5655189883,157,,5655189889,141,0,5655189891,212,35.8,5655189893,213,5.58,5655189887,140,67.4,5655189895,1,,5655876855,178,,5655189885,56,Right,3k6znit6fd9mbfcnphlwyvj6d,P. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801713137,10,5,1,1,13,dt4pinj0vw0t0cvz7za6mhmzy,0,68.6,-0.6,2025-04-15T19:04:21.788Z,2025-04-16T03:11:41Z,5655189897,56,Right,5655190047,233,28,5655189899,347,,,,,,,,,,,,,,,,,3k6znit6fd9mbfcnphlwyvj6d,P. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801713163,28,5,1,1,13,agh9ifb2mw3ivjusgedj7c3fe,1,31.4,100.6,2025-04-15T19:04:21.788Z,2025-04-16T03:11:42Z,5655190033,233,10,5655190021,56,Back,5655190023,347,,,,,,,,,,,,,,,,,eb3ci3a120om80v80mobsus8a,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713203,29,1,1,1,25,agh9ifb2mw3ivjusgedj7c3fe,1,32.7,100,2025-04-15T19:04:34.429Z,2025-04-16T03:11:47Z,5655190335,212,13.1,5655190337,213,5.57,5655190327,107,,5655190329,56,Back,5655190333,141,87.9,5655190331,140,42.2,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801713211,30,1,1,1,27,agh9ifb2mw3ivjusgedj7c3fe,1,42.2,87.9,2025-04-15T19:04:35.989Z,2025-04-16T03:11:59Z,5655877321,178,,5655190387,56,Back,5655190395,213,2.76,5655190389,140,35,5655190393,212,8.2,5655190391,141,92.4,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
