id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/18/value,teamName
2767664457,15,49,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,1,34.6,94.4,2025-01-21T20:02:15.698Z,2025-01-22T05:04:33Z,,,,,,,,,,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664461,16,1,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,0,34.6,94.4,2025-01-21T20:02:15.910Z,2025-01-22T05:04:36Z,5468969277,141,91.8,5468969275,140,39.4,5468969279,212,5.3,5469452421,178,,5468969273,56,Back,5468969283,213,5.95,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664465,10,8,1,0,35,9ldqu49smv1xg2va0n2cy28zl,1,56.4,10,2025-01-21T20:02:16.422Z,2025-01-22T05:05:02Z,5468969295,56,Right,5469452517,178,,5469378525,385,,,,,,,,,,,,,,,,,5t952swvuoed4pdwgbi4yjhex,Florentino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664473,11,5,1,0,36,9ldqu49smv1xg2va0n2cy28zl,0,60.1,-1.6,2025-01-21T20:02:17.810Z,2025-01-22T05:05:10Z,5468969313,56,Right,5468969923,233,17,5468969315,347,,,,,,,,,,,,,,,,,5t952swvuoed4pdwgbi4yjhex,Florentino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664577,17,5,1,0,36,agh9ifb2mw3ivjusgedj7c3fe,1,39.9,101.6,2025-01-21T20:02:17.810Z,2025-01-22T05:05:10Z,5468969917,233,11,5468969911,347,,5468969909,56,Back,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664589,18,1,1,0,39,agh9ifb2mw3ivjusgedj7c3fe,1,37.5,100,2025-01-21T20:02:21Z,2025-01-22T05:05:21Z,5468969975,213,4.06,5468969971,212,18.3,5468969957,107,,5468969963,140,27,5468972563,189,,5468969967,141,80.6,5468969959,56,Back,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664603,19,1,1,0,42,agh9ifb2mw3ivjusgedj7c3fe,1,26.7,78.8,2025-01-21T20:02:23.480Z,2025-01-22T05:05:24Z,5469452697,178,,5468972671,189,,5468970051,213,4.58,5468970047,141,43.7,5468970043,56,Back,5468970049,212,24.1,5468970045,140,23.6,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664623,20,1,1,0,47,agh9ifb2mw3ivjusgedj7c3fe,1,22.8,38.9,2025-01-21T20:02:28.168Z,2025-01-22T05:05:32Z,5468970147,212,17.2,5468970141,56,Back,5468970145,141,14,5468970149,213,4.88,5468970143,140,25.5,5469452747,178,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664667,21,1,1,0,49,agh9ifb2mw3ivjusgedj7c3fe,1,22.1,16.5,2025-01-21T20:02:30.132Z,2025-01-22T05:05:37Z,5468970395,213,2.43,5468970387,140,4.1,5468970393,212,25,5468970383,56,Back,5468970389,141,40.6,5469452773,178,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664693,22,1,1,0,51,agh9ifb2mw3ivjusgedj7c3fe,1,3.3,41.5,2025-01-21T20:02:32.858Z,2025-01-22T05:05:42Z,5468970527,141,76,5468970523,56,Back,5468970531,213,1.18,5469452807,178,,5468970525,140,12.5,5468970529,212,25.4,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczesny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
