id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/20/value,teamName
2712616281,16,1,1,0,49,agh9ifb2mw3ivjusgedj7c3fe,1,23.7,69.6,2024-08-24T17:03:05.348Z,2024-08-25T06:30:29Z,5168746785,56,Back,5168746791,212,9.8,5171567217,178,,5168746789,141,82.9,5168746793,213,1.17,5168746787,140,27.3,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616315,17,1,1,0,50,agh9ifb2mw3ivjusgedj7c3fe,1,27.3,82.9,2024-08-24T17:03:07.017Z,2024-08-25T06:30:36Z,5168747013,213,4,5168747005,56,Back,5168747011,212,9.7,5171567271,178,,5168747007,140,21.2,5168747009,141,72.1,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616359,18,1,1,0,53,agh9ifb2mw3ivjusgedj7c3fe,1,23.6,65.4,2024-08-24T17:03:09.465Z,2024-08-25T06:30:41Z,5168747247,56,Back,5168747249,140,27.9,5168747251,141,24.7,5168747253,212,28,5168747255,213,4.87,5171567337,178,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616397,19,1,1,0,56,agh9ifb2mw3ivjusgedj7c3fe,1,31.3,21.6,2024-08-24T17:03:12.525Z,2024-08-25T06:30:46Z,5168747461,56,Right,5168747471,213,5.8,5168747469,212,25.5,5168747467,141,4.1,5171567381,178,,5168747465,140,52.8,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616411,20,1,1,0,57,agh9ifb2mw3ivjusgedj7c3fe,0,52.8,4.1,2024-08-24T17:03:13.796Z,2024-08-25T06:30:49Z,5168747525,140,60.9,5171567437,178,,5168747521,56,Center,5168747531,212,16.3,5168747529,141,24.5,5168747533,213,1.02,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616415,9,8,1,0,58,3czravw89omgc9o4s0w3l1bg5,1,36.1,72.3,2024-08-24T17:03:14.836Z,2024-08-25T06:30:57Z,5170269431,385,,5168747571,56,Back,5171567543,178,,,,,,,,,,,,,,,,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712616697,10,2,1,1,1,3czravw89omgc9o4s0w3l1bg5,1,37.5,51.3,2024-08-24T17:03:17.817Z,2024-08-25T06:31:04Z,5168748999,140,58,5168749057,56,Left,5168749053,7,ddvvwqxpsqqboupi3gx1ijhed,5171567651,178,,5168749001,141,84.4,,,,,,,,,,v7isqpxiursyjhj5rmhyhjv9,Lekue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712616653,21,55,1,1,1,agh9ifb2mw3ivjusgedj7c3fe,1,43.7,47,2024-08-24T17:03:17.818Z,2024-08-25T06:31:05Z,,,,,,,,,,,,,,,,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616773,22,1,1,1,18,agh9ifb2mw3ivjusgedj7c3fe,1,28.5,33.5,2024-08-24T17:03:34.697Z,2024-08-25T06:31:32Z,5168749419,141,62.8,5168749417,140,28.6,5168749413,241,,5168749411,5,,5170270163,189,,5168749415,56,Back,5168749423,213,1.57,5168749421,212,19.9,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,5171567835,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616777,23,1,1,1,20,agh9ifb2mw3ivjusgedj7c3fe,1,28.6,62.8,2024-08-24T17:03:36.443Z,2024-08-25T06:31:39Z,5168749449,213,1.18,5168749447,212,24.2,5168749443,140,37.3,5168749441,56,Back,5168749445,141,95.8,5171567877,178,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616791,24,1,1,1,20,agh9ifb2mw3ivjusgedj7c3fe,1,37.3,95.8,2024-08-24T17:03:36.786Z,2024-08-25T06:31:55Z,5168749525,56,Back,5168749533,213,3.99,5168749527,140,29.6,5171568057,178,,5168749529,141,82.2,5168749531,212,12.3,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616849,25,1,1,1,23,agh9ifb2mw3ivjusgedj7c3fe,1,30.2,79.9,2024-08-24T17:03:40.167Z,2024-08-25T06:31:59Z,5168749821,212,25.3,5168749815,56,Back,5168749823,213,4.68,5171568099,178,,5168749817,140,29.4,5168749819,141,42.7,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616911,26,1,1,1,27,agh9ifb2mw3ivjusgedj7c3fe,1,31.8,30.8,2024-08-24T17:03:43.811Z,2024-08-25T06:32:05Z,5168750231,141,10.5,5168750233,212,16.6,5168750227,56,Back,5168750229,140,40.5,5171568123,178,,5168750235,213,5.3,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616957,27,1,1,1,31,agh9ifb2mw3ivjusgedj7c3fe,1,39.6,9.8,2024-08-24T17:03:47.286Z,2024-08-25T06:32:09Z,5168750451,56,Back,5168750465,213,2.1,5171568177,178,,5168750453,140,31.8,5168750457,141,30.2,5168750461,212,16.1,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616993,28,1,1,1,33,agh9ifb2mw3ivjusgedj7c3fe,1,31.7,32.9,2024-08-24T17:03:49.746Z,2024-08-25T06:32:17Z,5171568253,178,,5168750655,56,Back,5168750663,213,1.49,5168750657,140,34,5168750661,212,29.3,5168750659,141,75.8,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712617031,29,1,1,1,36,agh9ifb2mw3ivjusgedj7c3fe,1,37.1,80.7,2024-08-24T17:03:52.306Z,2024-08-25T06:32:23Z,5168750891,56,Left,5168750899,212,27.7,5168750893,140,61.7,5168750895,141,95.4,5168750903,213,0.37,5171568325,178,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712617039,30,1,1,1,38,agh9ifb2mw3ivjusgedj7c3fe,1,62,95.4,2024-08-24T17:03:55.018Z,2024-08-25T06:32:29Z,5171568413,178,,5168750935,140,67,5168750941,213,5.27,5168750939,212,9.9,5168750933,56,Left,5168750937,141,83.1,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712617053,31,61,1,1,39,agh9ifb2mw3ivjusgedj7c3fe,0,67,83.1,2024-08-24T17:03:55.657Z,2024-08-25T06:32:48Z,5168751015,56,Left,5171568605,178,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
