id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/20/value,qualifier/19/value,qualifier/21/value,teamName
2743747649,14,8,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,1,72.9,90.9,2024-11-03T15:18:50.302Z,2024-11-04T01:11:03Z,5340633773,383,,5341363861,178,,5338993461,56,Left,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747665,15,49,1,0,35,agh9ifb2mw3ivjusgedj7c3fe,1,75.9,93.2,2024-11-03T15:18:51.601Z,2024-11-04T01:11:10Z,,,,,,,,,,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2744046145,1138,3,1,0,37,agh9ifb2mw3ivjusgedj7c3fe,0,79.3,98,2024-11-03T15:18:53.571Z,2024-11-04T01:11:13Z,5340636669,286,,5340636673,467,6peka1v0xt2ctv0qtoaw9cslx,5341364097,178,,5340636665,56,Left,5340636671,464,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747821,16,4,1,0,37,agh9ifb2mw3ivjusgedj7c3fe,1,81.5,96.2,2024-11-03T15:18:53.852Z,2024-11-04T01:11:19Z,5338994343,152,,5338994345,265,,5338994347,286,,5338994341,56,Left,5338994339,13,,5339000791,233,6,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747973,6,4,1,0,37,c8llrezkm3b3op4afrou6b487,0,18.5,3.8,2024-11-03T15:18:53.853Z,2024-11-04T01:11:19Z,5339000829,233,16,5338995299,285,,5338995287,56,Back,5338995291,152,,5338995295,265,,5338995283,13,,5341364241,178,,,,,6peka1v0xt2ctv0qtoaw9cslx,Álvaro Tejero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743748591,17,1,1,1,17,agh9ifb2mw3ivjusgedj7c3fe,0,88.9,93.6,2024-11-03T15:19:33.827Z,2024-11-04T01:11:23Z,5338999315,233,8,5341364347,178,,5338998591,140,95.9,5340638087,224,,5338998601,213,4.95,5338998587,56,Center,5338998599,212,30.8,5338998575,2,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,5340637465,72,5338998579,5,5338998581,155,5338998583,152,5338998595,141,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743748633,7,44,1,1,18,c8llrezkm3b3op4afrou6b487,1,4.4,50.3,2024-11-03T15:19:35.092Z,2024-11-04T04:41:27Z,5338998835,56,Back,5338998837,285,,5338998997,233,18,,,,,,,,,,,,,,,,5f8kjgsaabn2li5r7bvpebbsa,Joan García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743748653,18,44,1,1,18,agh9ifb2mw3ivjusgedj7c3fe,0,95.6,49.7,2024-11-03T15:19:35.093Z,2024-11-04T01:11:29Z,5338999187,233,7,5338998963,56,Center,5338998965,286,,,,,,,,,,,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743748709,8,41,1,1,19,c8llrezkm3b3op4afrou6b487,1,4.8,50.4,2024-11-03T15:19:35.141Z,2024-11-04T04:41:27Z,5338999377,233,17,5338999265,141,82.4,5340638653,378,,5338999267,212,33.5,5338999263,140,29,5341364591,388,,5338999269,213,0.71,,,,5f8kjgsaabn2li5r7bvpebbsa,Joan García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743748715,9,49,1,1,22,c8llrezkm3b3op4afrou6b487,1,43.2,95.3,2024-11-03T15:19:38.312Z,2024-11-04T01:11:45Z,,,,,,,,,,,,,,,,,,,,,,,,,e5qp6dh1prc55llew51zpy1gp,Javi Puado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
