id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,teamName
2759825603,12,1,1,0,30,agh9ifb2mw3ivjusgedj7c3fe,1,45.5,24.3,2024-12-15T20:02:51.085Z,2024-12-16T06:21:42Z,5426513985,3,,5426513989,140,56.5,5426513991,141,24.3,5426513987,56,Center,5426513993,212,11.6,5427156143,388,,5426513995,213,0,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825613,13,1,1,0,32,agh9ifb2mw3ivjusgedj7c3fe,0,56.6,22.4,2024-12-15T20:02:52.743Z,2024-12-16T06:21:51Z,5426514037,212,17.1,5426514039,213,4.96,5426514035,141,0,5426514029,3,,5427156217,388,,5426514033,140,60.6,5426514031,56,Right,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825667,9,5,1,0,34,3krm0f4yr1l80j1sd7823f9xn,1,40.3,101.8,2024-12-15T20:02:54.741Z,2024-12-16T06:21:55Z,5426514281,347,,5426514289,233,14,5426514279,56,Back,,,,,,,,,,,,,,,,bahph7009sc73jl6s2bramn6d,M. Dmitrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825617,14,5,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,0,59.7,-1.8,2024-12-15T20:02:54.741Z,2024-12-16T06:21:55Z,5426514045,56,Right,5426514047,347,,5426514319,233,9,,,,,,,,,,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825791,10,1,1,0,49,3krm0f4yr1l80j1sd7823f9xn,1,45,100,2024-12-15T20:03:09.214Z,2024-12-16T06:22:04Z,5426515077,212,10.2,5426515075,141,91.5,5426515069,107,,5426515079,213,5.53,5426515071,56,Left,5426515073,140,52.1,,,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759906761,1235,83,1,0,50,agh9ifb2mw3ivjusgedj7c3fe,1,49.6,12.1,2024-12-15T20:03:10.859Z,2024-12-16T00:20:37Z,5426966769,399,ea5xlslcii56ycrlmyo6uiimt,,,,,,,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825795,11,1,1,0,51,3krm0f4yr1l80j1sd7823f9xn,0,48.5,91.1,2024-12-15T20:03:11.884Z,2024-12-16T06:22:13Z,5426515099,233,15,5426515095,213,3.77,5426515093,212,1,5426515103,286,,5427156353,178,,5426515089,140,47.7,5426515091,141,90.2,5426515087,56,Back,ea5xlslcii56ycrlmyo6uiimt,Óscar Rodríguez,5426515097,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825787,15,74,1,0,51,agh9ifb2mw3ivjusgedj7c3fe,1,58.1,13.5,2024-12-15T20:03:12.006Z,2024-12-16T06:22:16Z,5426515111,233,11,5427156391,178,,5426515033,56,Right,5426515037,285,,,,,,,,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825807,12,3,1,0,53,3krm0f4yr1l80j1sd7823f9xn,0,44.3,95.1,2024-12-15T20:03:13.607Z,2024-12-16T06:22:21Z,5426517829,233,16,5426515169,56,Back,5427156449,178,,5426966793,465,,5426515173,286,,,,,,,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825797,16,7,1,0,53,agh9ifb2mw3ivjusgedj7c3fe,0,55.7,4.9,2024-12-15T20:03:13.905Z,2024-12-16T06:22:32Z,5427156503,178,,5426515189,233,12,5426515117,285,,5426966795,385,,5426515115,56,Right,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825837,13,61,1,0,54,3krm0f4yr1l80j1sd7823f9xn,0,54.5,93.5,2024-12-15T20:03:14.590Z,2024-12-16T06:22:38Z,5427156489,178,,5426515303,56,Left,,,,,,,,,,,,,,,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825823,17,43,1,0,54,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-12-15T20:03:14.797Z,2024-12-15T20:03:18Z,5426515257,285,0,5426515255,56,Back,5426515413,144,7,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825827,18,4,1,0,55,agh9ifb2mw3ivjusgedj7c3fe,1,45.4,6.8,2024-12-15T20:03:15.911Z,2024-12-16T06:22:42Z,5426515299,286,,5426515419,233,14,5426515295,152,,5426515293,56,Back,5426515291,13,,5426515297,265,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825843,14,4,1,0,55,3krm0f4yr1l80j1sd7823f9xn,0,54.6,93.2,2024-12-15T20:03:15.912Z,2024-12-16T06:22:42Z,5427156577,178,,5426515389,152,,5426515385,13,,5426517497,233,18,5426515393,285,,5426515387,56,Left,5426515391,265,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759826021,19,1,1,1,11,agh9ifb2mw3ivjusgedj7c3fe,1,42.8,8.8,2024-12-15T20:03:31.506Z,2024-12-16T06:22:45Z,5426516351,56,Back,5426516349,152,,5426516357,212,35.6,5427156601,178,,5426576135,189,,5426516353,140,29.5,5426516361,1,,5426516355,141,56.9,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,5426516359,213,1.97,5426516347,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
