id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/20/value,teamName
2766679497,8,44,1,0,52,1n1j0wsl763lq7ee1k0c11c02,0,56.2,69.7,2025-01-18T20:02:50.931Z,2025-01-19T08:58:08Z,5463638443,233,12,5463638407,286,,5463638405,56,Center,,,,,,,,,,,,,,,,9see13i1f0n1ju4uhs8sijutx,D. Dakonam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679503,13,1,1,0,53,agh9ifb2mw3ivjusgedj7c3fe,0,38.7,29.8,2025-01-18T20:02:51.053Z,2025-01-19T13:15:55Z,5463638463,212,19.3,5463638459,140,56.9,5463638457,56,Center,5463638465,213,0.14,5464457757,388,,5463638461,141,33.9,5463638455,3,,,,,eb3ci3a120om80v80mobsus8a,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679519,9,43,1,0,55,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2025-01-18T20:02:53.048Z,2025-01-18T20:02:58Z,5463638543,233,14,5463638539,285,0,5463638593,144,44,5463638537,56,Back,,,,,,,,,,,,,cue88fm1v1ysfuwhql68czydx,Domingos Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679521,10,4,1,0,55,1n1j0wsl763lq7ee1k0c11c02,1,43.2,68.4,2025-01-18T20:02:53.397Z,2025-01-19T08:58:18Z,5463638569,13,,5463638573,56,Back,5463638577,286,,5463638857,233,14,5463640615,264,,5463638575,152,,,,,,,,dkt9892ixwnz1bkmgileo71sl,Diego Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679507,14,4,1,0,55,agh9ifb2mw3ivjusgedj7c3fe,0,56.8,31.6,2025-01-18T20:02:53.398Z,2025-01-19T08:58:17Z,5463638793,13,,5463638797,264,,5463638801,152,,5463638805,285,,5464457787,388,,5463638471,56,Center,5463638877,233,10,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679695,11,1,1,1,14,1n1j0wsl763lq7ee1k0c11c02,1,47.6,67.1,2025-01-18T20:03:12.909Z,2025-01-19T08:58:24Z,5463639677,56,Right,5464457843,178,,5463639683,212,47.4,5463639679,140,65.6,5463639669,5,,5463639685,213,5.12,5463639681,141,3.2,5463639673,196,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,5463639687,1,5463639675,152,,,5463639671,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679697,12,61,1,1,18,1n1j0wsl763lq7ee1k0c11c02,0,65.6,3.2,2025-01-18T20:03:16.615Z,2025-01-19T08:58:46Z,5464457977,15,,5464457979,178,,5463639691,56,Right,,,,,,,,,,,,,,,,5lzbyj5i0cotpry4gneap8c89,Juan Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679703,15,49,1,1,20,agh9ifb2mw3ivjusgedj7c3fe,1,11.5,93,2025-01-18T20:03:18.920Z,2025-01-19T08:58:55Z,,,,,,,,,,,,,,,,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679761,13,83,1,1,23,1n1j0wsl763lq7ee1k0c11c02,0,98.1,3.2,2025-01-18T20:03:21.438Z,2025-01-19T08:59:00Z,5463640365,399,bzgh5psb1janz9y3btpswngbu,,,,,,,,,,,,,,,,,,,,,,5lzbyj5i0cotpry4gneap8c89,Juan Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679763,16,3,1,1,25,agh9ifb2mw3ivjusgedj7c3fe,0,1.8,95.8,2025-01-18T20:03:23.761Z,2025-01-19T08:59:07Z,5464083201,464,,5463640131,233,14,5463639973,285,,5463639969,56,Back,5464458083,178,,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
