id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,teamName
2739510731,10,52,1,0,40,agh9ifb2mw3ivjusgedj7c3fe,1,0.8,56.8,2024-10-26T19:02:26.809Z,2024-10-27T08:09:28Z,5317781035,178,,5317519965,376,,,,,,,,,,,,,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Iñaki Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510697,9,43,1,0,41,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-26T19:02:27.231Z,2024-10-26T19:02:30Z,5315937887,144,55,,,,,,,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510763,11,1,1,0,44,agh9ifb2mw3ivjusgedj7c3fe,1,8.4,52.6,2024-10-26T19:02:30.060Z,2024-10-27T08:09:30Z,5315938073,140,9.1,5315938079,213,4.79,5315938075,141,39.3,5317781223,178,,5315938071,56,Back,5315938077,212,9.1,5315938069,123,,,,,4mxx1oxkiexm0ha34utcmb17t,Iñaki Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510813,12,1,1,0,48,agh9ifb2mw3ivjusgedj7c3fe,1,19.5,36.3,2024-10-26T19:02:34.301Z,2024-10-27T08:09:34Z,5315938419,141,42.1,5315938423,213,0.45,5317781421,178,,5315938421,212,9.1,5315938415,56,Back,5315938417,140,27.3,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510837,13,1,1,0,54,agh9ifb2mw3ivjusgedj7c3fe,1,28.6,35.4,2024-10-26T19:02:40.808Z,2024-10-27T08:09:36Z,5315938541,212,20.4,5317781515,178,,5315938535,56,Back,5315938537,140,36.7,5315938543,213,5.14,5315938539,141,8.2,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510859,14,1,1,0,57,agh9ifb2mw3ivjusgedj7c3fe,1,37.4,8.6,2024-10-26T19:02:43.490Z,2024-10-27T08:09:39Z,5315938667,140,29.5,5315938673,213,2.16,5315938669,141,26.7,5317781613,178,,5315938671,212,14.8,5315938665,56,Back,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510887,15,1,1,1,1,agh9ifb2mw3ivjusgedj7c3fe,1,28.9,27.9,2024-10-26T19:02:47.097Z,2024-10-27T08:10:18Z,5315938813,213,0.91,5315938807,140,32.4,5315938805,56,Back,5315938811,212,6,5317783219,178,,5315938809,141,34.8,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510917,16,1,1,1,4,agh9ifb2mw3ivjusgedj7c3fe,0,37.3,41.3,2024-10-26T19:02:50.445Z,2024-10-27T08:10:20Z,5317783313,178,,5315938997,155,,5315939001,140,63.7,5315939007,213,0.61,5315939003,141,70,5315939009,1,,5315938999,56,Center,5315939005,212,33.9,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510943,12,1,1,1,6,3kq9cckrnlogidldtdie2fkbl,1,30.3,21.7,2024-10-26T19:02:52.729Z,2024-10-27T08:10:44Z,5315939171,141,26.3,5315939169,140,41.9,5317784405,388,,5315939165,3,,5315939175,213,0.25,5315939173,212,12.6,5315939167,56,Back,,,,bf2pf3hs8gcvub4ivlve12ymt,Lucas Vázquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510947,13,49,1,1,8,3kq9cckrnlogidldtdie2fkbl,1,43.4,27,2024-10-26T19:02:54.064Z,2024-10-27T08:10:51Z,,,,,,,,,,,,,,,,,,,,,,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
