id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/9/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,teamName
2725829585,13,1,1,0,57,1n1j0wsl763lq7ee1k0c11c02,0,99.6,25.2,2024-09-25T19:02:37.798Z,2024-09-26T05:51:25Z,5241130299,56,Center,5241857717,20,,5241857715,386,,5241130305,212,16.1,5241130307,213,2.09,5241130301,140,92,5241857713,225,,5241130303,141,45.7,64h0x8sur55l07oaiuog4v2z9,Carles Pérez,5242159187,178,5241130295,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725829633,13,12,1,0,58,agh9ifb2mw3ivjusgedj7c3fe,1,9,54.2,2024-09-25T19:02:38.788Z,2024-09-26T05:51:30Z,5242159201,178,,5241130559,212,23.4,5241130553,56,Back,5241130763,167,,5241130557,141,84.8,5241130555,140,0,5241130561,213,2.04,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829611,14,6,1,1,0,1n1j0wsl763lq7ee1k0c11c02,1,97.7,26.6,2024-09-25T19:02:40.447Z,2024-09-26T05:51:37Z,5241130543,56,Center,5241130595,233,14,5241130545,75,,,,,,,,,,,,,,,,,64h0x8sur55l07oaiuog4v2z9,Carles Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725829635,14,6,1,1,0,agh9ifb2mw3ivjusgedj7c3fe,0,2.3,73.4,2024-09-25T19:02:40.447Z,2024-09-26T05:51:38Z,5241130577,56,Back,5241130579,73,,5241130615,233,14,,,,,,,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725830251,15,1,1,1,43,1n1j0wsl763lq7ee1k0c11c02,1,99.5,0.5,2024-09-25T19:03:23.589Z,2024-09-26T05:51:44Z,5241134167,140,90.6,5241134181,213,2.91,5241134165,56,Right,5242159223,178,,5241134177,212,9.6,5241134171,141,3.7,5241134163,6,,,,,64h0x8sur55l07oaiuog4v2z9,Carles Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725830273,16,1,1,1,44,1n1j0wsl763lq7ee1k0c11c02,0,90.6,3.7,2024-09-25T19:03:24.708Z,2024-09-26T05:51:48Z,5241134315,56,Right,5241134317,140,94.1,5241134371,233,15,5241134369,236,,5242159241,178,,5241134321,141,8.9,5241134329,213,0.77,5241858405,20,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,5241134325,212,5241858303,224,5.1,5241134313,155,5241134375,286,5241134311,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725830271,15,12,1,1,44,agh9ifb2mw3ivjusgedj7c3fe,1,4.5,90,2024-09-25T19:03:24.777Z,2024-09-26T05:52:34Z,5241134307,56,Back,5241134305,185,,5241134399,233,16,5242159387,388,,,,,,,,,,,,,,5kodjbsarkql4vhs126p2vhwq,Pablo Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725830289,16,6,1,1,45,agh9ifb2mw3ivjusgedj7c3fe,0,1.6,89.4,2024-09-25T19:03:25.398Z,2024-09-26T05:52:41Z,5241134611,233,17,5241134493,73,,5241134487,56,Back,,,,,,,,,,,,,,,,5kodjbsarkql4vhs126p2vhwq,Pablo Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725830297,17,6,1,1,45,1n1j0wsl763lq7ee1k0c11c02,1,98.4,10.6,2024-09-25T19:03:25.398Z,2024-09-26T05:52:41Z,5241134555,75,,5241134569,233,16,5241134553,56,Right,,,,,,,,,,,,,,,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725830487,18,1,1,1,58,1n1j0wsl763lq7ee1k0c11c02,1,99.5,0.5,2024-09-25T19:03:39.079Z,2024-09-26T05:52:51Z,5241135449,141,5.8,5241135443,6,,5241135453,213,2.71,5241135451,212,8.7,5241135447,140,92,5241135445,56,Right,5242159439,178,,,,,64h0x8sur55l07oaiuog4v2z9,Carles Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
