id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,teamName
2714310079,12,1,1,0,32,3budh3j9xivsid3ptm8ptpy4k,0,17.2,6.8,2024-08-27T19:31:30.870Z,2024-08-28T05:18:08Z,5178035273,141,13,5178874267,178,,5178035269,56,Right,5178035267,157,,5178035271,140,63.3,5178035275,212,48.6,5178035277,213,0.09,5178035279,1,,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310123,8,1,1,0,35,agh9ifb2mw3ivjusgedj7c3fe,1,34.8,91.5,2024-08-27T19:31:34.651Z,2024-08-28T05:18:21Z,5178035539,141,86.8,5178035537,140,46.8,5178035535,56,Back,5178874303,178,,5178035541,212,13,5178035533,3,,5178035543,213,6.03,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310129,9,49,1,0,37,agh9ifb2mw3ivjusgedj7c3fe,1,47.1,78.8,2024-08-27T19:31:36.448Z,2024-08-28T05:18:27Z,,,,,,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310175,10,1,1,0,38,agh9ifb2mw3ivjusgedj7c3fe,1,47.1,78.8,2024-08-27T19:31:37.746Z,2024-08-28T05:18:46Z,5178874359,178,,5178035815,141,51.6,5178035817,212,20,5178035819,213,5.11,5178035811,56,Center,5178035813,140,54.4,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310209,11,1,1,0,40,agh9ifb2mw3ivjusgedj7c3fe,0,54.4,51.6,2024-08-27T19:31:39.092Z,2024-08-28T05:18:55Z,5178036013,140,65.9,5178036009,155,,5178036011,56,Center,5178874495,178,,5178036019,213,0.27,5178036017,212,12.5,5178036015,141,56.5,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310205,13,61,1,0,40,3budh3j9xivsid3ptm8ptpy4k,1,43.6,41.3,2024-08-27T19:31:39.309Z,2024-08-28T05:20:01Z,5178874763,21,,5178874765,178,,5178035981,56,Back,,,,,,,,,,,,,,,,8onruhr4es313aq52xsl7nxlh,Óscar Valentín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310241,14,49,1,0,45,3budh3j9xivsid3ptm8ptpy4k,1,12.7,64.9,2024-08-27T19:31:44.410Z,2024-08-28T05:20:11Z,,,,,,,,,,,,,,,,,,,,,,,,,9xhbpn45z9wvjidbmparzkdm1,Dani Cárdenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310401,15,1,1,0,52,3budh3j9xivsid3ptm8ptpy4k,1,12.8,48.8,2024-08-27T19:31:51.081Z,2024-08-28T05:46:04Z,5178037121,212,15.8,5178874895,178,,5178037115,56,Back,5178037119,141,25.5,5178037123,213,4.73,5178037117,140,13,,,,,,,9xhbpn45z9wvjidbmparzkdm1,Dani Cárdenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310435,16,1,1,0,55,3budh3j9xivsid3ptm8ptpy4k,0,14,29.8,2024-08-27T19:31:54.224Z,2024-08-28T05:20:20Z,5178037341,56,Back,5178874929,178,,5178037343,140,37.8,5178037345,141,100,5178037337,155,,5178037339,196,,5178037349,213,1.1,5178037347,212,55.1,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,5178037351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310469,12,5,1,0,58,agh9ifb2mw3ivjusgedj7c3fe,1,64,-2,2024-08-27T19:31:57.377Z,2024-08-28T05:20:42Z,5178037585,233,17,5178037559,347,,5178037557,56,Right,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
